施打站代碼,施打站全稱,是否接受預約,施打站簡稱,施打站縣市,施打站行政區,施打站地址,施打站經度,施打站緯度,是否有預約網站供爬蟲,預約網址,是否接受電話預約,預約電話,爬蟲程式碼位置,資料抓取時間,爬蟲人,資料來源,開放預約時間,NOTE,Last Modified,Last Modified By
1532011154,敏盛綜合醫院,,,桃園市,桃園區,桃園市桃園區經國路168號、三民路三段106號,121.3068,25.01486,,https://reurl.cc/L0ob07,,03-3179599,,,,,,,2021年7月1日 12:23中午,Sean Gau
1532040039,天成醫院,,,桃園市,楊梅區,桃園市楊梅區新成路196號、中山北路一段356號,121.1473,24.90763,,https://bit.ly/2RwTIMQ,,03-4782350,,,,,,,2021年7月1日 12:23中午,Sean Gau
1532040066,怡仁綜合醫院,,,桃園市,楊梅區,桃園市楊梅區楊新北路321巷30號,121.1554,24.91695,,http://www.yeezen.com.tw/default.aspx#,,03-4855566,,,,,,,2021年7月1日 12:23中午,Sean Gau
1532100049,聯新國際醫院,,,桃園市,平鎮區,桃園市平鎮區廣泰路77號、延平路二段430巷115號,121.2054,24.94202,,https://ssl.landseed.com.tw/lishin/reg/reg.php,,03-4941234,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332010010,桃園市桃園區衛生所,,,桃園市,桃園區,桃園市桃園區國豐三街123號4樓,121.2787,24.99021,,https://forms.gle/thP5K2hordjWtbEKA,,03-3791888,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332020016,桃園市中壢區衛生所,,,桃園市,中壢區,桃園市中壢區溪洲街296號1、2樓,121.2300,24.96229,,https://forms.gle/EG49Gp511xEFBWf36,,03-4352666,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332030012,桃園市大溪區衛生所,,,桃園市,大溪區,桃園市大溪區仁愛路1號,121.2855,24.88449,,https://forms.gle/fz3PQw5uGyximxnZ9,,03-3882401,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332040018,桃園市楊梅區衛生所,,,桃園市,楊梅區,桃園市楊梅區校前路409號,121.1497,24.89699,,https://forms.gle/vkiKus9qcLZcR1db6,,03-4750151,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332050014,桃園市蘆竹區衛生所,,,桃園市,蘆竹區,桃園市蘆竹區長安路二段238號,121.2805,25.06307,,https://forms.gle/LHoJtZ3JaAb8iCzaA,,03-3524732,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332060010,桃園市大園區衛生所,,,桃園市,大園區,桃園市大園區田心里中正西路19號,121.1955,25.06336,,https://forms.gle/owyw8DQ1zXVfCw9ZA,,03-3862024,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332070016,桃園市龜山區衛生所,,,桃園市,龜山區,桃園市龜山區自強南路103號,121.3385,24.99150,,https://forms.gle/dHZ8RMJhppyVXD4T6,,03-3299645,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332080012,桃園市八德區衛生所,,,桃園市,八德區,桃園市八德區大華里介壽路二段361巷28號,121.2964,24.94752,,https://forms.gle/5q1WJAhmmx67TQKL7,,03-3662781,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332090018,桃園市龍潭區衛生所,,,桃園市,龍潭區,桃園市龍潭區中正路210號1至2樓,121.2165,24.86404,,https://forms.gle/SvSaDcjsrpz2Y9sw5,,03-4792033,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332100019,桃園市平鎮區衛生所,,,桃園市,平鎮區,桃園市平鎮區新富里1鄰振興路1號,121.2178,24.94593,,https://forms.gle/wYeBbWwUfenRzu3p7,,03-4576624,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332110015,桃園市新屋區衛生所,,,桃園市,新屋區,桃園市新屋區新屋里中山路239號,121.1068,24.97259,,https://forms.gle/kXDZ9b2ZtKsWmiWR8,,03-4772018,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332120011,桃園市觀音區衛生所,,,桃園市,觀音區,桃園市觀音區觀新路58號,121.0838,25.02782,,https://forms.gle/aa5n1W1vDSXCGQsw8,,03-4732031,,,,,,,2021年7月1日 12:23中午,Sean Gau
2332130017,桃園市復興區衛生所,,,桃園市,復興區,桃園市復興區澤仁里中正路25號,121.3510,24.81507,,https://forms.gle/bPYew3Uf6mwx2TRr6,,03-3822325,,,,,,,2021年7月1日 12:23中午,Sean Gau
0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,,,新竹市,北區,新竹市北區金華里經國路一段442巷25號,120.9799,24.81671,,https://www.hch.gov.tw/hch/hch_chinese.aspx,,03-5326151,,,,,,,2021年7月1日 12:23中午,Sean Gau
0512040014,國軍新竹地區醫院附設民眾診療服務處,,,新竹市,北區,新竹市北區武陵路3號,120.9614,24.81597,,https://813.mnd.gov.tw/,,03-5348181,,,,,,,2021年7月1日 12:23中午,Sean Gau
1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,,,新竹市,東區,新竹市東區光復路二段690號,120.9908,24.80009,,https://bit.ly/32ey9Ts,,03-6119595,,,,,,,2021年7月1日 12:23中午,Sean Gau
1112010528,國泰醫療財團法人新竹國泰綜合醫院,,,新竹市,東區,新竹市東區福德里中華路二段678號及678號之1,120.9649,24.79874,,https://reg.cgh.org.tw/tw/reg/main_01.jsp,,03-5278999,,,,,,,2021年7月1日 12:23中午,Sean Gau
1512011185,南門綜合醫院,,,新竹市,東區,新竹市東區林森路20號,120.9697,24.80222,,http://reg.nanmen.com.tw:8080/NanWeb/index.html,,03-5261122,,,,,,,2021年7月1日 12:23中午,Sean Gau
2312010014,新竹市東區衛生所,,,新竹市,東區,新竹市東區民族路40之2號,120.9737,24.80544,,https://e-health.hcchb.gov.tw/ch/index.jsp,,03-5236158,,,,,,,2021年7月1日 12:23中午,Sean Gau
2312041028,新竹市北區衛生所,,,新竹市,北區,新竹市北區國華街六十九號一樓,120.9703,24.81637,,https://dep-n-health.hccg.gov.tw/ch/index.jsp,,03-5353969,,,,,,,2021年7月1日 12:23中午,Sean Gau
2312050018,新竹市香山衛生所,,,新竹市,香山區,新竹市香山區牛埔里育德街188號2樓,120.9426,24.79442,,https://s-health.hcchb.gov.tw/ch/index.jsp,,03-5388109,,,,,,,2021年7月1日 12:23中午,Sean Gau
0433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院(竹北院區),,,新竹縣,竹北市,新竹縣竹北市生醫路一段2號,121.0440,24.80540,,https://reg.ntuh.gov.tw/WebAdministration/VaccineClinicReg.aspx?Hosp=T7&Reg=V,,03-6677600,,,,,,,2021年7月1日 12:23中午,Sean Gau
0633030010,臺北榮民總醫院新竹分院,,,新竹縣,竹東鎮,新竹縣竹東鎮中豐路1段81號,121.0996,24.72270,,http://www.vhct.gov.tw/,,03-5962134,,,,,,,2021年7月1日 12:23中午,Sean Gau
0933050018,東元醫療社團法人東元綜合醫院,,,新竹縣,竹北市,新竹縣竹北市縣政二路69號,121.0140,24.82376,,https://w3.tyh.com.tw/MainWebRegister.aspx,,03-5527000,,,,,,,2021年7月1日 12:23中午,Sean Gau
1133060019,天主教仁慈醫療財團法人仁慈醫院,,,新竹縣,湖口鄉,新竹縣湖口鄉孝勢村忠孝路29號,121.0455,24.90056,,https://bit.ly/3a6FicQ,,03-5993500,,,,,,,2021年7月1日 12:23中午,Sean Gau
1333050017,中國醫藥大學新竹附設醫院,,,新竹縣,竹北市,新竹縣竹北市興隆路一段199號,121.0020,24.82404,,https://bit.ly/3dh16Et,,03-5580558,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333010014,新竹縣關西鎮衛生所,,,新竹縣,關西鎮,新竹縣關西鎮中山路207號,121.1726,24.79168,,https://guanxi.hcshb.gov.tw/Default.aspx,,03-5872454,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333020010,新竹縣新埔鎮衛生所,,,新竹縣,新埔鎮,新竹縣新埔鎮新民里中正路758號,121.0717,24.82792,,https://xinpu.hcshb.gov.tw/,,03-5882017,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333030016,新竹縣竹東鎮衛生所,,,新竹縣,竹東鎮,新竹縣竹東鎮中正路221號,121.0929,24.73599,,https://zhudong.hcshb.gov.tw/,,03-5943566,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333050018,新竹縣竹北市衛生所,,,新竹縣,竹北市,新竹縣竹北市光明二街89號,121.0068,24.83217,,https://zhubei.hcshb.gov.tw/News_Content.aspx?n=119&sms=9119&s=85705,,03-5533381,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333060014,新竹縣湖口鄉衛生所,,,新竹縣,湖口鄉,新竹縣湖口鄉中勢村中興街36號,121.0488,24.90233,,https://hukou.hcshb.gov.tw/,,03-5992654,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333070010,新竹縣橫山鄉衛生所,,,新竹縣,橫山鄉,新竹縣橫山鄉大肚村3鄰新興街141巷10號,121.1393,24.71756,,https://hengshan.hcshb.gov.tw/,,03-5932004,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333080016,新竹縣新豐鄉衛生所,,,新竹縣,新豐鄉,新竹縣新豐鄉重興村萃豐路21號,120.9881,24.89992,,https://xinfeng.hcshb.gov.tw/,,03-5591150,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333090012,新竹縣芎林鄉衛生所,,,新竹縣,芎林鄉,新竹縣芎林鄉文山路532號,121.0778,24.77740,,https://qionglin.hcshb.gov.tw/,,03-5924787,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333100013,新竹縣寶山鄉衛生所,,,新竹縣,寶山鄉,新竹縣寶山鄉雙溪村7鄰雙園路二段273號,120.9949,24.76691,,https://baoshan.hcshb.gov.tw/,,03-5292106,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333110019,新竹縣北埔鄉衛生所,,,新竹縣,北埔鄉,新竹縣北埔鄉北埔街90號,121.0555,24.70055,,https://beipu.hcshb.gov.tw/,,03-5801677,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333120015,新竹縣峨眉鄉衛生所,,,新竹縣,峨眉鄉,新竹縣峨眉鄉峨眉村峨眉街2鄰5號,121.0214,24.68842,,https://emei.hcshb.gov.tw/,,03-5800314,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333130011,新竹縣尖石鄉衛生所,,,新竹縣,尖石鄉,新竹縣尖石鄉嘉樂村2鄰61號,121.2023,24.70562,,https://jianshi.hcshb.gov.tw/,,03-5842356,,,,,,,2021年7月1日 12:23中午,Sean Gau
2333140017,新竹縣五峰鄉衛生所,,,新竹縣,五峰鄉,新竹縣五峰鄉大隘村六鄰99號,121.1194,24.63184,,https://wufeng.hcshb.gov.tw/,,03-5851005,,,,,,,2021年7月1日 12:23中午,Sean Gau
0135010016,衛生福利部苗栗醫院,,,苗栗縣,苗栗市,苗栗縣苗栗市為公路747號,120.8404,24.57566,,https://reg2.mil.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=CO02&Date=&Noon=,,037-261920,,,,,,,2021年7月1日 12:23中午,Sean Gau
0935010012,梓榮醫療社團法人弘大醫院,,,苗栗縣,苗栗市,苗栗縣苗栗市新東街125號,120.8210,24.55152,無，要人工查,,,037-361188,,,,,,,2021年7月1日 12:23中午,Sean Gau
0935010021,大千醫療社團法人南勢醫院,,,苗栗縣,苗栗市,苗栗縣苗栗市南勢里南勢52號,120.7883,24.51979,無，要人工查,,,037-369936,,,,,,,2021年7月1日 12:23中午,Sean Gau
0935020027,李綜合醫療社團法人苑裡李綜合醫院,,,苗栗縣,苑裡鎮,苗栗縣苑裡鎮和平路168號、苗栗縣苑裡鎮中華路137號,120.6527,24.44182,,http://www.leehospital.com.tw/%E7%B6%B2%E8%B7%AF%E6%8E%9B%E8%99%9F/Covid19.asp,,037-862387,,,,,,,2021年7月1日 12:23中午,Sean Gau
1135050020,為恭醫療財團法人為恭紀念醫院,,,苗栗縣,頭份市,351苗栗縣頭份市信義路128號,120.9083,24.68774,,https://app2.weigong.org.tw/WebReg/ym/reg/DoctorList.jsp,,037-676811,,,,,,,2021年7月1日 12:23中午,Sean Gau
1435010013,財團法人台灣省私立桃園仁愛之家附設苗栗新生醫院,,,苗栗縣,苗栗市,苗栗縣苗栗市維新里新東街117號,120.8207,24.55156,無，要人工查,,,037-320988,,,,,,,2021年7月1日 12:23中午,Sean Gau
1535010024,協和醫院,,,苗栗縣,苗栗市,苗栗縣苗栗市中正路1367號,120.8173,24.54127,無，要人工查,,,037-352631,,,,,,,2021年7月1日 12:23中午,Sean Gau
1535010051,大千綜合醫院,,,苗栗縣,苗栗市,苗栗市大同路133號、信義路23號、恭敬路36號、信義街36號,120.8155,24.55174,,http://60.249.72.244//reg/WebRegISAPI.dll/$/start,,037-357125,,,,,,,2021年7月1日 12:23中午,Sean Gau
1535031041,通霄光田醫院,,,苗栗縣,通霄鎮,苗栗縣通霄鎮中山路88號,120.6784,24.48900,,http://www.ts.ktgh.com.tw/,,037-759999,,,,,,,2021年7月1日 12:23中午,Sean Gau
1535051178,重光醫院,,,苗栗縣,頭份市,苗栗縣頭份市中華路1037、1039、1041、1043號,120.9081,24.68648,無，要人工查,,,037-663030,,,,,,,2021年7月1日 12:23中午,Sean Gau
1535081078,大順醫院,,,苗栗縣,大湖鄉,苗栗縣大湖鄉中正路48之5號,120.8676,24.42240,,https://reurl.cc/V3rvzY,,037-997666,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335010012,苗栗縣苗栗市衛生所,,,苗栗縣,苗栗市,苗栗縣苗栗市建民街28號,120.8249,24.56596,無，要人工查,,,037-277129,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335020018,苗栗縣苑裡鎮衛生所,,,苗栗縣,苑裡鎮,苗栗縣苑裡鎮客庄里公民街16號,120.6527,24.43950,無，要人工查,,,037-869595,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335030014,苗栗縣通霄鎮衛生所,,,苗栗縣,通霄鎮,苗栗縣通霄鎮通東里23鄰中正路16－2號1－3樓,120.6842,24.49089,無，要人工查,,,037-752048,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335040010,苗栗縣竹南鎮衛生所,,,苗栗縣,竹南鎮,苗栗縣竹南鎮大營路209號,120.8725,24.68772,無，要人工查,,,037-470152,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335050016,苗栗縣頭份市衛生所,,,苗栗縣,頭份市,苗栗縣頭份市顯會路72號,120.9157,24.69048,無，要人工查,,,037-663049,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335060012,苗栗縣後龍鎮衛生所,,,苗栗縣,後龍鎮,苗栗縣後龍鎮大庄里21鄰光華路375號1樓,120.7895,24.61168,無，要人工查,,,037-722008,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335070018,苗栗縣卓蘭鎮衛生所,,,苗栗縣,卓蘭鎮,苗栗縣卓蘭鎮老庄里中正路142號,120.8314,24.31263,無，要人工查,,,04-25892027,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335080014,苗栗縣大湖鄉衛生所,,,苗栗縣,大湖鄉,苗栗縣大湖鄉明湖村中原路87號,120.8659,24.42424,無，要人工查,,,037-991034,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335090010,苗栗縣公館鄉衛生所,,,苗栗縣,公館鄉,苗栗縣公館鄉館中村大同路75號,120.8277,24.49995,無，要人工查,,,037-224732,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335100011,苗栗縣銅鑼鄉衛生所,,,苗栗縣,銅鑼鄉,苗栗縣銅鑼鄉銅鑼村新興路81號,120.7929,24.48480,無，要人工查,,,037-981006,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335110017,苗栗縣南庄鄉衛生所,,,苗栗縣,南庄鄉,苗栗縣南庄鄉東村大同路17號,121.0000,24.59733,無，要人工查,,,037-822024,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335120013,苗栗縣頭屋鄉衛生所,,,苗栗縣,頭屋鄉,苗栗縣頭屋鄉頭屋村中山街56巷54號,120.8498,24.57654,無，要人工查,,,037-253534,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335130019,苗栗縣三義鄉衛生所,,,苗栗縣,三義鄉,苗栗縣三義鄉復興路45號,120.7708,24.41338,無，要人工查,,,037-872014,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335140015,苗栗縣西湖鄉衛生所,,,苗栗縣,西湖鄉,苗栗縣西湖鄉龍洞村1鄰16號,120.7708,24.54510,無，要人工查,,,037-921211,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335150011,苗栗縣造橋鄉衛生所,,,苗栗縣,造橋鄉,苗栗縣造橋鄉造橋村14鄰8－2號,120.8643,24.63672,無，要人工查,,,037-542755,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335160017,苗栗縣三灣鄉衛生所,,,苗栗縣,三灣鄉,苗栗縣三灣鄉三灣村親民路17號,120.9566,24.65284,無，要人工查,,,037-831140,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335170013,苗栗縣獅潭鄉衛生所,,,苗栗縣,獅潭鄉,苗栗縣獅潭鄉新店村130之6號,120.9201,24.53920,無，要人工查,,,037-931309,,,,,,,2021年7月1日 12:23中午,Sean Gau
2335180019,苗栗縣泰安鄉衛生所,,,苗栗縣,泰安鄉,苗栗縣泰安鄉清安村2鄰72號,120.9083,24.44722,無，要人工查,,,037-941054,,,,,,,2021年7月1日 12:23中午,Sean Gau
0117030010,衛生福利部臺中醫院,,,臺中市,西區,臺中市西區三民路一段199號,120.6757,24.14023,,https://www.taic.mohw.gov.tw/?aid=301&page_name=detail&iid=5897,,04-22294411,,,,,,,2021年7月1日 12:23中午,Sean Gau
0136010010,衛生福利部豐原醫院,,,臺中市,豐原區,臺中市豐原區安康路100號,120.7253,24.24271,,https://web1.fyh.mohw.gov.tw/oinetregweb/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0119&Date=&Noon=,,04-25271180,,,,,,,2021年7月1日 12:23中午,Sean Gau
0517050010,國軍台中總醫院附設民眾診療服務處中清分院,,,臺中市,北區,臺中市北區忠明路500號,120.6722,24.16228,,https://803.mnd.gov.tw/816/2021/04/19/covid-19%e7%96%ab%e8%8b%97%e6%8e%a5%e7%a8%ae%e5%85%ac%e5%91%8a/,,04-22037320,,,,,,,2021年7月1日 12:23中午,Sean Gau
0536190011,國軍臺中總醫院附設民眾診療服務處,,,臺中市,太平區,臺中市太平區中山路2段348號,120.7301,24.15081,,https://web-reg-server.803.org.tw/stepB3.asp,,04-23934191,,,,,,,2021年7月1日 12:23中午,Sean Gau
0617060018,臺中榮民總醫院,,,臺中市,西屯區,臺中市西屯區臺灣大道4段 1650號,120.6046,24.18430,,http://regws.vghtc.gov.tw/COVID19VaccReg,,04-23592525,,,,,,,2021年7月1日 12:23中午,Sean Gau
0903150014,林新醫療社團法人烏日林新醫院,,,臺中市,烏日區,臺中市烏日區榮和路168號,120.5980,24.10959,,http://wlshosp.org.tw/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF/covid-19%E7%96%AB%E8%8B%97%E9%A0%90%E7%B4%84%E6%8E%A5%E7%A8%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85/,,04-23388766,,,,,,,2021年7月1日 12:23中午,Sean Gau
0917070029,林新醫療社團法人林新醫院,,,臺中市,南屯區,臺中市南屯區惠中路3段36號,120.6402,24.14904,,http://www.lshosp.com.tw/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF/covid-19%E7%96%AB%E8%8B%97%E9%A0%90%E7%B4%84%E6%8E%A5%E7%A8%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85/,,04-22586688,,,,,,,2021年7月1日 12:23中午,Sean Gau
0936030018,李綜合醫療社團法人大甲李綜合醫院,,,臺中市,大甲區,臺中市大甲區八德街2號,120.6181,24.35078,,http://www.leehospital.com.tw/%E7%B6%B2%E8%B7%AF%E6%8E%9B%E8%99%9F/Covid19.asp,,04-26862288,,,,,,,2021年7月1日 12:23中午,Sean Gau
0936060016,童綜合醫療社團法人童綜合醫院,,,臺中市,梧棲區,臺中市梧棲區臺灣大道八段699號,120.5425,24.24729,,https://www.sltung.com.tw/news_d/486/501/1013/0/0/12371,,04-26581919,,,,,,,2021年7月1日 12:23中午,Sean Gau
1136090519,佛教慈濟醫療財團法人台中慈濟醫院,,,臺中市,潭子區,臺中市潭子區豐興路1段66、88號,120.7229,24.20364,,https://taichung.tzuchi.com.tw/news/9/1981,,04-36060666,,,,,,,2021年7月1日 12:23中午,Sean Gau
1136200015,仁愛醫療財團法人大里仁愛醫院,,,臺中市,大里區,臺中市大里區東榮路483號,120.6804,24.10926,,https://www.jah.org.tw/news/index-1.asp?m=9&m1=7&m2=69&id=2771,,04-24819900,,,,,,,2021年7月1日 12:23中午,Sean Gau
1303180011,亞洲大學附屬醫院,,,臺中市,霧峰區,臺中市霧峰區福新路222號,120.6862,24.05356,,https://www.auh.org.tw/NewsInfo/NewsArticle?no=1298,,04-37061668,,,,,,,2021年7月1日 12:23中午,Sean Gau
1317040011,中山醫學大學附設醫院,,,臺中市,南區,臺中市南區建國北路一段110號,120.6499,24.12175,,http://sysint.csh.org.tw/CSHVaccine/CSHEmployeeVaccine.aspx,,04-24739595,,,,,,,2021年7月1日 12:23中午,Sean Gau
1317050017,中國醫藥大學附設醫院,,,臺中市,北區,臺中市北區育德路2號,120.6805,24.15773,,https://www.cmuh.cmu.edu.tw/NewsInfo/NewsArticle?no=7216,,04-22062121,,,,,,,2021年7月1日 12:23中午,Sean Gau
1517011112,澄清綜合醫院,,,臺中市,中區,臺中市中區平等街139號,120.6816,24.14260,,http://www.ccgh.com.tw/PT2/html/webdetail.aspx?pagetype=2&otherkind=1&pageno=1&page=1,,04-24632000,,,,,,,2021年7月1日 12:23中午,Sean Gau
1517061032,澄清綜合醫院中港分院,,,臺中市,西屯區,臺中市西屯區臺灣大道4段966號,120.6170,24.18285,,http://www.ccgh.com.tw/html/webdetail.aspx?pagetype=2&otherkind=1&pageno=1&page=2,,04-24632000,,,,,,,2021年7月1日 12:23中午,Sean Gau
2317050018,臺中市北區衛生所,,,臺中市,北區,臺中市北區永興街301號4樓,120.6822,24.16604,,https://www.health.taichung.gov.tw/1781358/post,,04-22359182,,,,,,,2021年7月1日 12:23中午,Sean Gau
2336030018,臺中市大甲區衛生所,,,臺中市,大甲區,臺中市大甲區德興路81號,120.6245,24.35019,,https://www.health.taichung.gov.tw/1781358/post,,04-26872153,,,,,,,2021年7月1日 12:23中午,Sean Gau
2336120017,臺中市石岡區衛生所,,,臺中市,石岡區,臺中市石岡區石岡街6號,120.7776,24.27601,,https://www.health.taichung.gov.tw/1781358/post,,04-25721887,,,,,,,2021年7月1日 12:23中午,Sean Gau
2336180013,臺中市霧峰區衛生所,,,臺中市,霧峰區,臺中市霧峰區本堂里民生路1－9號,120.7007,24.06081,,https://www.health.taichung.gov.tw/1781358/post,,04-23393022,,,,,,,2021年7月1日 12:23中午,Sean Gau
2336190019,臺中市太平區衛生所,,,臺中市,太平區,臺中市太平區中山路1段213之1號,120.7316,24.14254,,https://www.health.taichung.gov.tw/1781358/post,,04-23938083,,,,,,,2021年7月1日 12:23中午,Sean Gau
0936050029a,光田醫療社團法人光田綜合醫院-沙鹿院區,,,臺中市,沙鹿區,臺中市沙鹿區沙田路117號,120.5588,24.23532,,http://www.ktgh.com.tw/Reg_Covid_19.asp,,(04)2662-5111,,,,,,,2021年7月1日 1:54下午,Terry Wang
0936050029b,光田醫療社團法人光田綜合醫院-大甲院區,,,臺中市,大甲區,台中市大甲區經國路321號,120.6163,24.34668,,http://www.ktgh.com.tw/Reg_Covid_19.asp,,(04)2688-5599,,,,,,,2021年7月1日 1:54下午,Terry Wang
0137170515,衛生福利部彰化醫院,,,彰化縣,埔心鄉,彰化縣埔心鄉舊館村中正路二段80號,120.5273,23.95023,,https://reg.chhw.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=C&Way=Dept&DivDr=0111&Date=&Noon=,,04-8298686,,,,,,,2021年7月1日 12:23中午,Sean Gau
0937010019,秀傳醫療社團法人秀傳紀念醫院,,,彰化縣,彰化市,彰化縣彰化市南瑤里中山路1段542號,120.5375,24.06479,,https://www.scmh.org.tw/RegCal.aspx?Dept=MM&Kind=2,,04-7256166,,,,,,,2021年7月1日 12:23中午,Sean Gau
0937030012,道周醫院,,,彰化縣,和美鎮,彰化縣和美鎮和光路180號、和善路118號,120.4919,24.11057,,http://www.farlinhospital.com/images/new/covid-19%E7%96%AB%E8%8B%97%E9%96%8B%E6%89%93.JPG,,04-7566995,,,,,,,2021年7月1日 12:23中午,Sean Gau
0937050024,惠來醫療社團法人宏仁醫院,,,彰化縣,員林市,彰化縣員林市惠來街89號、91號,120.5703,23.95527,,https://docs.google.com/forms/d/e/1FAIpQLSfiFJQ8Fw6HFj7Xj5FDdD6ZYIt09b29vdFZnP8OlAaXvso9nw/viewform,,04-8375878,,,,,,,2021年7月1日 12:23中午,Sean Gau
1137010024,彰化基督教醫療財團法人彰化基督教醫院,,,彰化縣,彰化市,彰化縣彰化市南校街135號、中華路176號、旭光路235、320號,120.5445,24.07149,,https://www.cch.org.tw/news_page.aspx?Id=144#,,04-7238595,,,,,,,2021年7月1日 12:23中午,Sean Gau
1137010051,彰化基督教醫療財團法人漢銘基督教醫院,,,彰化縣,彰化市,彰化縣彰化市中山路一段366號,120.5358,24.06130,,https://hm.cch.org.tw/news_detial.aspx?cID=1&Key=116,,04-7113456,,,,,,,2021年7月1日 12:23中午,Sean Gau
1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,,,彰化縣,鹿港鎮,彰化縣鹿港鎮鹿工路6號、6－2號,120.4111,24.07827,,https://www.cbshow.org.tw/changbin/RegCal.aspx?Dept=MM&Kind=2,,04-7813888,,,,,,,2021年7月1日 12:23中午,Sean Gau
1137020520,彰化基督教醫療財團法人鹿港基督教醫院,,,彰化縣,鹿港鎮,彰化縣鹿港鎮中正路480號、永安二路37號、安福街45號,120.4382,24.06038,,http://www.rc.cch.org.tw/news_detial.aspx?cID=1&Key=2432,,04-7779595,,,,,,,2021年7月1日 12:23中午,Sean Gau
1137050019,彰化基督教醫療財團法人員林基督教醫院,,,彰化縣,員林市,彰化縣員林市莒光路456號,120.5670,23.96275,,https://bc.cch.org.tw/news_detial.aspx?cID=1&Key=426,,04-8381456,,,,,,,2021年7月1日 12:23中午,Sean Gau
1137080017,彰化基督教醫療財團法人二林基督教醫院,,,彰化縣,二林鎮,彰化縣二林鎮南光里大成路一段558號、安和街40巷28號2樓,120.3711,23.89848,,https://erhlin.cch.org.tw/news_detial.aspx?cID=1&Key=128,,04-8952031,,,,,,,2021年7月1日 12:23中午,Sean Gau
1537040066,卓醫院,,,彰化縣,北斗鎮,彰化縣北斗鎮西安里中山路一段311號,120.5155,23.87228,,https://docs.google.com/forms/d/e/1FAIpQLSdpYfIuWqdcQ295WbggrKmRa9fZUlBUNQmZEvt6pwV9yqYmXg/viewform,,04-8882995,,,,,,,2021年7月1日 12:23中午,Sean Gau
1537051292,員生醫院,,,彰化縣,員林市,彰化縣員林市莒光路359號,120.5664,23.95925,,https://www.ysh.org.tw/,,04-8383995,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337010010,彰化縣彰化市南西北區衛生所,,,彰化縣,彰化市,彰化縣彰化市華北里旭光路166號,120.5463,24.07292,,https://swnphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrl5eYocja,,04-7282141,,,,,,,2021年7月1日 12:23中午,Sean Gau
