醫事機構代碼（自動）,施打站全稱（自動）,施打站縣市（自動）,施打站行政區（自動）,施打站地址（自動）,施打站經度（自動）,施打站緯度（自動）,官方提供網址（自動）,預約電話（自動）
1137010051,彰化基督教醫療財團法人漢銘基督教醫院,彰化縣,彰化市,彰化縣彰化市中山路一段366號,120.535784,24.061299,https://hm.cch.org.tw/news_detial.aspx?cID=1&Key=116,04-7113456
1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,彰化縣,鹿港鎮,彰化縣鹿港鎮鹿工路6號、6－2號,120.41112,24.078274,https://www.cbshow.org.tw/changbin/RegCal.aspx?Dept=MM&Kind=2,04-7813888
1137020520,彰化基督教醫療財團法人鹿港基督教醫院,彰化縣,鹿港鎮,彰化縣鹿港鎮中正路480號、永安二路37號、安福街45號,120.438211,24.060379,http://www.rc.cch.org.tw/news_detial.aspx?cID=1&Key=2432,04-7779595
1137050019,彰化基督教醫療財團法人員林基督教醫院,彰化縣,員林市,彰化縣員林市莒光路456號,120.566953,23.96275,https://bc.cch.org.tw/news_detial.aspx?cID=1&Key=426,04-8381456
1137080017,彰化基督教醫療財團法人二林基督教醫院,彰化縣,二林鎮,彰化縣二林鎮南光里大成路一段558號、安和街40巷28號2樓,120.36335873913545,23.893732924942732,https://erhlin.cch.org.tw/news_detial.aspx?cID=1&Key=128,04-8952031
1138010019,彰化基督教醫療財團法人南投基督教醫院,南投縣,南投市,南投縣南投市中興路870號,120.683868,23.898831,https://ny.cch.org.tw/nyrg/opd/service-e.aspx?id=7700&Page=11&#p,049-2225595
1138020015,埔基醫療財團法人埔里基督教醫院,南投縣,埔里鎮,南投縣埔里鎮愛蘭里鐵山路1號,120.946799,23.970928,http://web2.pch.org.tw/Booking/Covid19Reg/Covid19Reg.aspx,049-2912151
1139010013,佛教慈濟醫療財團法人斗六慈濟醫院,雲林縣,斗六市,雲林縣斗六市雲林路二段248號,120.529957,23.702283,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1139010013,05-5372000
1139020019,天主教中華道明修女會醫療財團法人天主教福安醫院,雲林縣,斗南鎮,雲林縣斗南鎮文昌路110號,120.482089,23.678774,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1139020019,05-5952688
1139030015,天主教若瑟醫療財團法人若瑟醫院,雲林縣,虎尾鎮,雲林縣虎尾鎮新生路74號,120.437886,23.708214,http://www.stjoho.org.tw/www2012/news.aspx?newsno=20067,05-6337333
1139130010,長庚醫療財團法人雲林長庚紀念醫院,雲林縣,麥寮鄉,雲林縣麥寮鄉中興村工業路1500號,120.218341,23.795183,https://register.cgmh.org.tw/Department/M/M0990D,05-6915151
1140010510,長庚醫療財團法人嘉義長庚紀念醫院,嘉義縣,朴子市,嘉義縣朴子市仁和里長庚一路6號及嘉朴路西段8號,120.284043,23.464805,https://register.cgmh.org.tw/Department/6/60990D,05-3621000
1140030012,佛教慈濟醫療財團法人大林慈濟醫院,嘉義縣,大林鎮,嘉義縣大林鎮平林里民生路2號,120.457449,23.596312,http://dl99.tzuchi-healthcare.org.tw/tchw/covidvac/,05-2648000
1141090512,奇美醫療財團法人柳營奇美醫院,臺南市,柳營區,臺南市柳營區太康里201號,120.324704,23.289269,http://www.chimei.org.tw/opdschedule/index.aspx?ihosp=13&lang=CH,06-6226999
1141310019,奇美醫療財團法人奇美醫院,臺南市,永康區,臺南市永康區中華路901號、臺南市南區樹林街二段442號,120.22184661689032,23.02055004157198,http://www.chimei.org.tw/opdschedule/index.aspx?ihosp=10&lang=CH,06-2812811
1142010518,高雄市立鳳山醫院（委託長庚醫療財團法人經營）,高雄市,鳳山區,高雄市鳳山區經武路42號、42－1號,120.363086,22.628564,https://register.cgmh.org.tw/Department/T/T0990C,07-7418151
1142100017,長庚醫療財團法人高雄長庚紀念醫院,高雄市,鳥松區,高雄市鳥松區大埤路123號,120.356029,22.649847,https://register.cgmh.org.tw/Department/8/80990D,07-7317123
1143010012,屏基醫療財團法人屏東基督教醫院,屏東縣,屏東市,屏東縣屏東市華山里大連路60號,120.502588,22.682041,https://docs.google.com/forms/d/e/1FAIpQLSd2bJ3agzjU-NTDCJz1uU94VYBdRhMsAKa7tXlj9L7FLutIIA/viewform,08-7368686
1145010010,佛教慈濟醫療財團法人花蓮慈濟醫院,花蓮縣,花蓮市,花蓮縣花蓮市中央路3段707號,121.592282,23.995729,https://hlm.tzuchi.com.tw/index.php/guide/covid19,03-8561825
1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,花蓮縣,花蓮市,花蓮縣花蓮市民權路44號,121.626626,23.988257,https://reg.mch.org.tw/Register/ShowPhySchedule?Area=M&SubjectClassId=&SubjectId=9007&phyId=,03-8241234
1145030012,佛教慈濟醫療財團法人玉里慈濟醫院,花蓮縣,玉里鎮,花蓮縣玉里鎮民權街1－1號,121.318526,23.334662,https://app.tzuchi.com.tw/tchw/opdreg/OpdTimeShow.aspx?depart=COVID19%e7%96%ab%e8%8b%97%e9%a0%90%e7%b4%84&HospLoc=5,03-8882718
1145060029,臺灣基督教門諾會醫療財團法人門諾醫院壽豐分院,花蓮縣,壽豐鄉,花蓮縣壽豐鄉共和村魚池52號,121.524929,23.870004,https://reg.mch.org.tw/Register/ShowPhySchedule?Area=S&SubjectClassId=&SubjectId=9007&phyId=,03-8664600
1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,臺東縣,臺東市,臺東縣臺東市長沙街303巷1號,121.141015,22.750271,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1146010014,089-310150
1146010032,東基醫療財團法人台東基督教醫院,臺東縣,臺東市,臺東縣臺東市開封街350號,121.146016,22.763821,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1146010032,089-960888
1146010041,天主教花蓮教區醫療財團法人台東聖母醫院,臺東縣,臺東市,臺東縣臺東市民族里21鄰杭州街2號,121.146416,22.757629,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1146010041,089-322833
1146030516,佛教慈濟醫療財團法人關山慈濟醫院,臺東縣,關山鎮,臺東縣關山鎮和平路125－5號,121.166679,23.05722,https://app.tzuchi.com.tw/tchw/OpdReg/OpdTimeShow.aspx?depart=%e5%85%a7%e7%a7%91&HospLoc=6,089-814880
1231030015,天主教耕莘醫療財團法人永和耕莘醫院,新北市,永和區,新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓,121.51787,25.011873,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1231030015,02-29286060
1231050017,天主教耕莘醫療財團法人耕莘醫院,新北市,新店區,新北市新店區中正路362號、車子路15號,121.535619,24.976084,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1231050017,02-22193391
1301110511,中國醫藥大學附設醫院臺北分院,臺北市,內湖區,臺北市內湖區內湖路2段360號,121.590599,25.082125,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1301110511,02-27919696
1301170017,臺北醫學大學附設醫院,臺北市,信義區,臺北市信義區吳興街252號、250號,121.563638,25.026637,https://www.tmuh.org.tw/special/covid19#,02-27372181
1301200010,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,臺北市,文山區,臺北市文山區興隆路3段111號,121.55833,25.000305,https://www.wanfang.gov.tw/p3_register_e3.aspx?deptcode=B054&depttype=A&deptdesc=%E5%85%AC%E8%B2%BBCOVID-19%E7%96%AB%E8%8B%97%E9%96%80%E8%A8%BA&depttype2=A,02-29307930
1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市,三民區,高雄市三民區十全一路100號,120.310001,22.645178,https://www.kmuh.org.tw/web/BookVaccineSysInter,07-3121101
1303180011,亞洲大學附屬醫院,臺中市,霧峰區,臺中市霧峰區福新路222號,120.68617,24.053561,https://www.auh.org.tw/NewsInfo/NewsArticle?no=1298,04-37061668
1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,臺南市,安南區,臺南市安南區長和路二段66號,120.223192,23.064232,http://www.tmanh.org.tw/Service/OnlineAppointment,06-3553111
1307370011,高雄市立旗津醫院(委託財團法人私立高雄醫學大學經營),高雄市,旗津區,高雄市旗津區旗港路33號,120.285113,22.590209,https://www.kmch.org.tw/web/BookVaccineSysInter,07-5711188
1331160010,輔仁大學學校財團法人輔仁大學附設醫院,新北市,泰山區,新北市泰山區貴子路69號（地下4層、地上1至9層及13層）,121.430798,25.039676,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1331160010,02-85128888
1339060017,中國醫藥大學北港附設醫院,雲林縣,北港鎮,雲林縣北港鎮新街里新德路123號,120.30782,23.591763,http://www.bh.cmu.edu.tw/cgi-bin/bh/reg51.cgi?DocNo=D9999&sstus=3,05-7837901
1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市,萬華區,臺北市萬華區廣州街200、243號,121.49597,25.036885,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1401190011,02-23021133
1401190039,同仁院醫療財團法人萬華醫院,臺北市,萬華區,臺北市萬華區中華路2段606巷6號,121.509826,25.024049,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1401190039,02-23059292
1411030013,醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院,基隆市,暖暖區,基隆市暖暖區源遠路29號,121.733149,25.107994,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1411030013,02-24579101
1435010013,財團法人台灣省私立桃園仁愛之家附設苗栗新生醫院,苗栗縣,苗栗市,苗栗縣苗栗市維新里新東街117號,120.82067,24.551561,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1435010013,037-320988
1501021219,秀傳醫院,臺北市,大安區,臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓,121.556064,25.043464,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1501021219,02-27717172
1501100037,協和婦女醫院,臺北市,中山區,臺北市中山區松江路85巷5號93巷6號93巷6號2樓,121.533942,25.050273,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1501100037,02-25072222
1501201020,景美醫院,臺北市,文山區,臺北市文山區羅斯福路6段280號及文山區育英街18巷2號1樓,121.539908,24.998189,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1501201020,02-29331010
1502031095,馨蕙馨醫院,高雄市,左營區,高雄市左營區明誠二路五四一號,120.303828,22.660969,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1502031095,07-5586080
1502040021,健仁醫院,高雄市,楠梓區,高雄市楠梓區中陽里楠陽路136號,120.328988,22.72362,http://reg.jiannren.org.tw/JRNetReg/KReg/ScheduleListCovid19.aspx,07-3517166
1502081175,邱外科醫院,高雄市,苓雅區,高雄市苓雅區成功一路137號1－6樓,120.297304,22.614661,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1502081175,07-3364131
1502090209,吳昆哲婦產小兒科醫院,高雄市,前鎮區,高雄市前鎮區興東里民權二路430號,120.31439,22.612079,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1502090209,07-3319611
1507290012,生安婦產小兒科醫院,高雄市,鼓山區,高雄市鼓山區美術東二路177號Ｂ2－11Ｆ,120.28831,22.662316,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1507290012,07-5223138
1507310019,金安心醫院,高雄市,楠梓區,高雄市楠梓區加昌路606號1－4樓,120.29898,22.715882,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1507310019,07-3649890
1507310037,高大美杏生醫院,高雄市,楠梓區,高雄市楠梓區大學東路1號1－3樓,120.289635,22.724997,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1507310037,07-3658885
1511010068,新昆明醫院,基隆市,中正區,基隆市中正區中正路30號,121.744812,25.133153,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1511010068,02-24268106
1521031104,郭綜合醫院,臺南市,中西區,臺南市民生路二段18．20．22．23．24．25．27號,120.1964541,22.9948524,http://www.kgh.com.tw/,06-2221111
1531010108,蕭中正醫院,新北市,板橋區,新北市板橋區南雅南路1段15－1，17，19號,121.456473,25.006972,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531010108,02-29685661
1531010279,板橋中興醫院,新北市,板橋區,新北市板橋區忠孝路15號、新北市土城區中華路1段32號,121.460292,25.001988,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531010279,02-29590707
1531020122,宏仁醫院,新北市,三重區,新北市三重區三和路2段186－196號,121.498631,25.068929,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531020122,02-29784022
1531021165,三重中興醫院,新北市,三重區,新北市三重區中興北街21號,121.469661,25.046534,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531021165,02-29959680
1531050077,同仁醫院,新北市,新店區,新北市新店區民權路89號,121.537745,24.982766,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531050077,02-29170201
1531051163,豐榮醫院,新北市,新店區,新北市新店區安德街26巷3號B棟,121.511571,24.963242,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531051163,02-22122111
1531060180,新泰綜合醫院,新北市,新莊區,新北市新莊區新樹路176號,121.434313,25.021564,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531060180,02-29962121
1531100027,公祥醫院,新北市,淡水區,新北市淡水區英專路21巷25、27號、中山路38、40號,121.444832,25.169737,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531100027,02-26217638
1531120038,瑞芳礦工醫院,新北市,瑞芳區,新北市瑞芳區一坑路71之2號,121.80217,25.108602,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531120038,02-24974101
1531130052,廣川醫院,新北市,土城區,新北市土城區裕民路274、276、278號,121.455672,24.981756,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1531130052,02-22617000
1532021383,懷寧醫院,桃園市,中壢區,桃園市中壢區志廣路119號及正光街229號1樓,121.205647,24.96163,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1532021383,03-4919119
1532021392,中美醫院,桃園市,中壢區,桃園市中壢區中美路95號1－3樓(含1樓夾層),121.225099,24.958591,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1532021392,03-4266222
1532040066,怡仁綜合醫院,桃園市,楊梅區,桃園市楊梅區楊新北路321巷30號,121.155427,24.916951,http://www.yeezen.com.tw/default.aspx#,03-4855566
1532091081,龍潭敏盛醫院,桃園市,龍潭區,桃園市龍潭區中豐路168號,121.213863,24.875063,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1532091081,03-4794151
1532100049,聯新國際醫院,桃園市,平鎮區,桃園市平鎮區廣泰路77號、延平路二段430巷115號,121.20531669303,24.9467627258343,https://ssl.landseed.com.tw/lishin/reg/reg.php,03-4941234
1532101108,宋俊宏婦幼醫院,桃園市,平鎮區,桃園市平鎮區民族路199號,121.209897,24.956222,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1532101108,03-4020999
1533030028,林醫院,新竹縣,竹東鎮,新竹縣竹東鎮東林路76號,121.091222,24.736833,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1533030028,03-5962316
1533051063,大安醫院,新竹縣,竹北市,新竹縣竹北市博愛街318巷6號,121.007999,24.835096,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1533051063,03-5557188
1533051072,新仁醫院,新竹縣,竹北市,新竹縣竹北市博愛街331號,121.007881,24.835637,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1533051072,03-5552039
1535010024,協和醫院,苗栗縣,苗栗市,苗栗縣苗栗市中正路1367號,120.817299,24.541274,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1535010024,037-352631
1535010051,大千綜合醫院,苗栗縣,苗栗市,苗栗市大同路133號、信義路23號、恭敬路36號、信義街36號,120.815489,24.551742,http://60.249.72.244//reg/WebRegISAPI.dll/$/start,037-357125
1535031041,通霄光田醫院,苗栗縣,通霄鎮,苗栗縣通霄鎮中山路88號,120.678377,24.489,http://www.ts.ktgh.com.tw/,037-759999
1535040068,慈祐醫院,苗栗縣,竹南鎮,苗栗縣竹南鎮民治街17號,120.878639,24.68477,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1535040068,037-476589
1535051178,重光醫院,苗栗縣,頭份市,苗栗縣頭份市中華路1037、1039、1041、1043號,120.908106,24.686478,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1535051178,037-663030
1537010040,信生醫院,彰化縣,彰化市,彰化縣彰化市三民路３１２號,120.545016,24.085773,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537010040,04 7251191
1537010175,冠華醫院,彰化縣,彰化市,彰化縣彰化市光復里中正路一段437號,120.542767,24.082477,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537010175,04-7256067
1537010219,成美醫院,彰化縣,彰化市,彰化縣彰化市信義里三民路56號及77號1－2樓,120.540396,24.08315,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537010219,04-7273127
1537010237,順安醫院,彰化縣,彰化市,彰化縣彰化市永福里光復路53號,120.543964,24.080711,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537010237,04-7229889
1537040066,卓醫院,彰化縣,北斗鎮,彰化縣北斗鎮西安里中山路一段311號,120.51554,23.872278,https://docs.google.com/forms/d/e/1FAIpQLSdpYfIuWqdcQ295WbggrKmRa9fZUlBUNQmZEvt6pwV9yqYmXg/viewform,04-8882995
1537050071,員林何醫院,彰化縣,員林市,彰化縣員林市中山里民族街33號,120.570487,23.957146,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537050071,04-8325111
1537051274,皓生醫院,彰化縣,員林市,彰化縣員林市中正里萬年路3段133號,120.573536,23.959157,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537051274,04-8379560
1537051292,員生醫院,彰化縣,員林市,彰化縣員林市莒光路359號,120.566404,23.95925,https://www.ysh.org.tw/,04-8383995
1537051309,員郭醫院,彰化縣,員林市,彰化縣員林市員林大道六段51號,120.562667,23.967472,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537051309,04-8312889
1537070028,仁和醫院,彰化縣,田中鎮,彰化縣田中鎮中路里中州路一段157號,120.587905,23.858024,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537070028,04-8742108
1537071089,建元醫院,彰化縣,田中鎮,彰化縣田中鎮中路里中南路三段512號1－5樓,120.590363,23.853359,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537071089,04-8743747
1537081085,宋志懿醫院,彰化縣,二林鎮,彰化縣二林鎮豐田里大成路一段51號,120.372845,23.900635,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537081085,04-8968707
1537100012,伸港忠孝醫院,彰化縣,伸港鄉,彰化縣伸港鄉新港村忠孝路30號,120.485826,24.148654,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537100012,04-7991618
1537150512,員林郭醫院大村分院,彰化縣,大村鄉,彰化縣大村鄉大村村田洋橫巷2–9號,120.544262,23.99668,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1537150512,04-8539666
1538030037,曾漢棋綜合醫院,南投縣,草屯鎮,南投縣草屯鎮炎峰里虎山路915號,120.685734,23.978559,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1538030037,049-2314145
1538041101,竹山秀傳醫院,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路2段75號,120.714117,23.800149,http://www.csshow.org.tw/covid19res/,049-2624266
1539010048,洪揚醫院,雲林縣,斗六市,雲林縣斗六市文化路138號,120.548799,23.710867,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1539010048,05-5323039
1539010057,安生醫院,雲林縣,斗六市,雲林縣斗六市仁愛里永樂街120號,120.546965,23.70833,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1539010057,05-5353955
1542010052,大東醫院,高雄市,鳳山區,高雄市鳳山區三民里光遠路171－2號,120.362012,22.625359,http://www.da-dong.com.tw/content-62.html,07-7463762
1542011282,杏和醫院,高雄市,鳳山區,高雄市鳳山區五甲二路385號、387號、389號、391號,120.335668,22.597677,http://shinghou.com.tw/news_detail.php?id=34,07-7613111
1542020058,劉嘉修醫院,高雄市,岡山區,高雄市岡山區岡山路426及428號,120.295867,22.795756,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1542020058,07-6221231
1542030018,重安醫院,高雄市,旗山區,高雄市旗山區大德里大仁街18號,120.484821,22.88302,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1542030018,07-6618471
1542050056,建佑醫院,高雄市,林園區,高雄市林園區東林西路360，362號，399號，407巷7號,120.392135,22.503854,http://www.chien-yu.com.tw/news_detail.php?id=3675,07-6437901
1542061148,瑞生醫院,高雄市,大寮區,高雄市大寮區鳳林四路192號,120.384874,22.617691,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1542061148,07-7835175
1543010109,國仁醫院,屏東縣,屏東市,屏東縣屏東市民生東路12－2號,120.514591,22.658297,https://forms.gle/S2d5y7J3N1t9zTT97,08-7223000
2301160012,臺北市北投區健康服務中心,臺北市,北投區,臺北市北投區新市街30號5樓,121.502735,25.132673,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2301160012,02-28976455
2301200011,臺北市文山區健康服務中心,臺北市,文山區,臺北市文山區指南路2段117號,121.576522,24.98762,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2301200011,02-82377441
2302020017,高雄市鼓山區衛生所,高雄市,鼓山區,高雄市鼓山區登山街１６號,120.273971,22.62357,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2302020017,07 5315753
2302030013,高雄市左營區衛生所,高雄市,左營區,高雄市左營區進學路４號1-5樓,120.295823,22.690875,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2302030013,07-5817191
2302040019,高雄市楠梓區衛生所,高雄市,楠梓區,高雄市楠梓區楠梓路２０２號1-4樓,120.328406,22.732106,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2302040019,07 -3512119
2302060011,高雄市新興區衛生所,高雄市,新興區,高雄市新興區中正三路二十五號四樓,120.309897,22.630502,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2302060011,07- 2294121
2302080013,高雄市苓雅區衛生所,高雄市,苓雅區,高雄市苓雅區民權一路８５號３樓,120.31215,22.621777,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2302080013,07-5360559
2302090019,高雄市前鎮區衛生所,高雄市,前鎮區,高雄市前鎮區康定路１４９號,120.318781,22.586196,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2302090019,02 8414687
2302100010,高雄市旗津區衛生所,高雄市,旗津區,高雄市旗津區旗津三路2號1F,120.284774,22.589974,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2302100010,07- 5712820
2302110016,高雄市小港區衛生所,高雄市,小港區,高雄市小港區小港二街１０號,120.336823,22.563229,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2302110016,07 8218814
2303240013,臺中市中西區衛生所,臺中市,西區,臺中市西區民權路105號,120.675929,24.141144,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2303240013,04-22223811
2311010010,基隆市中正區衛生所,基隆市,中正區,基隆市中正區中正路236號2樓,121.759176,25.140941,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2311010010,02-24621632
2311020016,基隆市七堵區衛生所,基隆市,七堵區,基隆市七堵區光明路21號1樓之1、2樓,121.715826,25.097458,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2311020016,02-24562008
2311030012,基隆市暖暖區衛生所,基隆市,暖暖區,基隆市暖暖區暖暖街281巷98號,121.736543,25.098966,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2311030012,02-24572630
2311050014,基隆市中山區衛生所,基隆市,中山區,基隆市中山區中山二路15號,121.740759,25.137235,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2311050014,02-24229860
2312010014,新竹市東區衛生所,新竹市,東區,新竹市東區民族路40之2號,120.973654,24.80544,https://e-health.hcchb.gov.tw/ch/index.jsp,03-5236158
2312041028,新竹市北區衛生所,新竹市,北區,新竹市北區國華街六十九號一樓,120.970299,24.816368,https://dep-n-health.hccg.gov.tw/ch/index.jsp,03-5353969
2312050018,新竹市香山衛生所,新竹市,香山區,新竹市香山區牛埔里育德街188號2樓,120.942578,24.794419,https://s-health.hcchb.gov.tw/ch/index.jsp,03-5388109
2317020010,臺中市東區衛生所,臺中市,東區,臺中市東區信義街142號,120.687798,24.133369,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2317020010,04-22834121
2317040012,臺中市南區衛生所,臺中市,南區,臺中市南區工學路72號2樓,120.663793,24.11709,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2317040012,04-22629735
2317050018,臺中市北區衛生所,臺中市,北區,臺中市北區永興街301號4樓,120.682233,24.166042,https://www.health.taichung.gov.tw/1781358/post,04-22359182
2317060014,臺中市西屯區衛生所,臺中市,西屯區,臺中市西屯區西安里西屯路二段299號,120.640383,24.178913,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2317060014,04-27027068
2317070010,臺中市南屯區衛生所,臺中市,南屯區,臺中市南屯區向心南路811號1樓,120.643438,24.134209,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2317070010,04-23827640
2317080016,臺中市北屯區軍功衛生所,臺中市,北屯區,臺中市北屯區軍功路二段16號,120.719534,24.17619,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2317080016,04-22393932
2317081022,臺中市北屯區四民衛生所,臺中市,北屯區,臺中市北屯區后庄路1062號,120.68067,24.192695,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2317081022,04-24211945
2321040011,臺南市北區衛生所,臺南市,北區,臺南市北區公園里西華街50號,120.210875,23.000114,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2321040011,06-2252404
2321060013,臺南市安南區衛生所,臺南市,安南區,臺南市安南區仁安路70號2樓,120.176109,23.050138,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2321060013,06-2567406
2321070019,臺南市安平區衛生所,臺南市,安平區,臺南市安平區平通里育平路310號,120.168083,22.994347,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2321070019,06-2996885
2322010017,嘉義市東區衛生所,嘉義市,東區,嘉義市東區大雅路二段625號,120.46629,23.476849,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2322010017,05-2750423
2322020013,嘉義市西區衛生所,嘉義市,西區,嘉義市西區德明路1號,120.43119,23.479949,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2322020013,05-2337355
2331010016,新北市板橋區衛生所,新北市,板橋區,新北市板橋區英士路192號,121.458327,25.023316,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331010016,02-22586606
2331020012,新北市三重區衛生所,新北市,三重區,新北市三重區新北大道1段1號,121.491392,25.061191,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331020012,02-29848320
